contig	start	end	gene_name
Chr_01	461490	463210	MgIM767.01G009200
Chr_01	463588	465561	MgIM767.01G009300
Chr_01	465696	467577	MgIM767.01G009400
Chr_01	468358	468948	MgIM767.01G009500
Chr_01	469420	470082	MgIM767.01G009600
Chr_01	470083	473623	MgIM767.01G009700
Chr_01	475144	476309	MgIM767.01G009800
Chr_01	476769	479003	MgIM767.01G009900
Chr_01	478781	480235	MgIM767.01G010000
Chr_01	480527	486136	MgIM767.01G010100
Chr_01	486079	489446	MgIM767.01G010200
Chr_01	491511	493627	MgIM767.01G010300
Chr_01	493861	496929	MgIM767.01G010400
Chr_01	497424	502268	MgIM767.01G010500
Chr_01	514112	518060	MgIM767.01G010600
Chr_01	523085	526131	MgIM767.01G010700
Chr_01	526270	530204	MgIM767.01G010800
Chr_01	530416	534037	MgIM767.01G010900
Chr_01	540383	541198	MgIM767.01G011000
Chr_01	541475	544788	MgIM767.01G011100
Chr_01	545439	546391	MgIM767.01G011200
Chr_01	546934	548368	MgIM767.01G011300
Chr_01	548554	549267	MgIM767.01G011400
Chr_01	549524	550402	MgIM767.01G011500
Chr_01	550477	551240	MgIM767.01G011600
Chr_01	552389	553258	MgIM767.01G011700
Chr_01	555217	557483	MgIM767.01G011800
Chr_01	557577	558351	MgIM767.01G011900
Chr_01	558382	559262	MgIM767.01G012000
Chr_01	559325	559996	MgIM767.01G012100
Chr_01	562600	565083	MgIM767.01G012200
Chr_01	567092	569358	MgIM767.01G012300
Chr_01	569199	571537	MgIM767.01G012400
Chr_01	572134	573661	MgIM767.01G012500
Chr_01	601029	601924	MgIM767.01G012600
Chr_01	605999	609150	MgIM767.01G012700
Chr_01	610521	612254	MgIM767.01G012800
Chr_01	612150	614640	MgIM767.01G012900
Chr_01	615987	617845	MgIM767.01G013000
Chr_01	619335	620479	MgIM767.01G013100
Chr_01	620798	622114	MgIM767.01G013200
Chr_01	625695	626811	MgIM767.01G013300
Chr_01	628344	631494	MgIM767.01G013400
Chr_01	632590	638005	MgIM767.01G013500
Chr_01	638637	645721	MgIM767.01G013600
Chr_01	645776	648577	MgIM767.01G013700
Chr_01	650228	653926	MgIM767.01G013800
Chr_01	654494	661379	MgIM767.01G013900
Chr_01	664257	665288	MgIM767.01G014000
Chr_01	669113	671987	MgIM767.01G014100
Chr_01	672283	675768	MgIM767.01G014200
Chr_01	684628	689399	MgIM767.01G014300
Chr_01	689755	691920	MgIM767.01G014400
Chr_01	692037	697339	MgIM767.01G014500
Chr_01	699309	702064	MgIM767.01G014600
Chr_01	705168	708635	MgIM767.01G014700
Chr_01	708528	712780	MgIM767.01G014800
Chr_01	713263	716332	MgIM767.01G014900
Chr_01	717133	719290	MgIM767.01G015000
Chr_01	719665	721704	MgIM767.01G015100
Chr_01	721985	724866	MgIM767.01G015200
Chr_01	727032	728936	MgIM767.01G015300
Chr_01	729165	732523	MgIM767.01G015400
Chr_01	733673	737278	MgIM767.01G015500
Chr_01	738301	743479	MgIM767.01G015600
Chr_01	743971	744168	MgIM767.01G015700
Chr_01	744766	748046	MgIM767.01G015800
Chr_01	748634	751733	MgIM767.01G015900
Chr_01	753091	756913	MgIM767.01G016000
Chr_01	757575	764126	MgIM767.01G016100
Chr_01	764045	768683	MgIM767.01G016200
Chr_01	769402	772949	MgIM767.01G016300
Chr_01	772911	774281	MgIM767.01G016400
Chr_01	778806	780313	MgIM767.01G016500
Chr_01	786565	799021	MgIM767.01G016600
Chr_01	809244	813049	MgIM767.01G016700
Chr_01	816943	831485	MgIM767.01G016800
Chr_01	834293	835649	MgIM767.01G016900
Chr_01	836153	846852	MgIM767.01G017000
Chr_01	848200	851039	MgIM767.01G017100
Chr_01	851057	851769	MgIM767.01G017200
Chr_01	852096	854490	MgIM767.01G017300
Chr_01	854811	859463	MgIM767.01G017400
Chr_01	860573	862973	MgIM767.01G017500
Chr_01	863537	864774	MgIM767.01G017600
Chr_01	865538	867067	MgIM767.01G017700
Chr_01	866998	872509	MgIM767.01G017800
Chr_01	872571	874641	MgIM767.01G017900
Chr_01	874642	876956	MgIM767.01G018000
Chr_01	877808	880777	MgIM767.01G018100
Chr_01	881980	883919	MgIM767.01G018200
Chr_01	885892	889589	MgIM767.01G018300
Chr_01	890002	891503	MgIM767.01G018400
Chr_01	893260	898261	MgIM767.01G018500
Chr_01	902571	905501	MgIM767.01G018600
Chr_01	910122	912303	MgIM767.01G018700
Chr_01	913348	914007	MgIM767.01G018800
Chr_01	914600	923726	MgIM767.01G018900
Chr_01	925117	928660	MgIM767.01G019000
Chr_01	935136	936057	MgIM767.01G019100
Chr_01	938319	942395	MgIM767.01G019200
Chr_01	946618	952420	MgIM767.01G019300
Chr_01	954609	958498	MgIM767.01G019400
Chr_01	959553	961417	MgIM767.01G019500
Chr_01	965919	966632	MgIM767.01G019600
Chr_01	966960	969376	MgIM767.01G019700
Chr_01	969377	971211	MgIM767.01G019800
Chr_01	972132	974227	MgIM767.01G019900
Chr_01	974388	979100	MgIM767.01G020000
Chr_01	981119	983754	MgIM767.01G020100
Chr_01	983862	986189	MgIM767.01G020200
Chr_01	998768	1000037	MgIM767.01G020300
Chr_01	1004935	1006913	MgIM767.01G020400
Chr_01	1007579	1010975	MgIM767.01G020500
Chr_01	1011011	1015069	MgIM767.01G020600
Chr_01	1014379	1017338	MgIM767.01G020700
Chr_01	1017280	1019499	MgIM767.01G020800
Chr_01	1020186	1022564	MgIM767.01G020900
Chr_01	1022990	1026073	MgIM767.01G021000
Chr_01	1025950	1027783	MgIM767.01G021100
Chr_01	1028678	1030193	MgIM767.01G021200
Chr_01	1031331	1033014	MgIM767.01G021300
Chr_01	1034164	1035930	MgIM767.01G021400
Chr_01	1037533	1040648	MgIM767.01G021500
Chr_01	1040730	1042865	MgIM767.01G021600
Chr_01	1043524	1046889	MgIM767.01G021700
Chr_01	1047588	1048093	MgIM767.01G021800
Chr_01	1047903	1050448	MgIM767.01G021900
Chr_01	1051418	1056548	MgIM767.01G022000
Chr_01	1059466	1062885	MgIM767.01G022100
Chr_01	1064341	1067735	MgIM767.01G022200
Chr_01	1067718	1070872	MgIM767.01G022300
Chr_01	1071127	1077069	MgIM767.01G022400
Chr_01	1078154	1080134	MgIM767.01G022500
Chr_01	1081011	1083863	MgIM767.01G022600
Chr_01	1084157	1087906	MgIM767.01G022700
Chr_01	1088039	1090359	MgIM767.01G022800
Chr_01	1090132	1097195	MgIM767.01G022900
Chr_01	1099234	1102739	MgIM767.01G023000
Chr_01	1103239	1111118	MgIM767.01G023100
Chr_01	1112029	1124698	MgIM767.01G023200
Chr_01	1125189	1125578	MgIM767.01G023300
Chr_01	1125598	1126694	MgIM767.01G023400
Chr_01	1135963	1138857	MgIM767.01G023500
Chr_01	1146662	1147929	MgIM767.01G023600
Chr_01	1164148	1165796	MgIM767.01G023700
Chr_01	1165896	1168111	MgIM767.01G023800
Chr_01	1179860	1181684	MgIM767.01G023900
Chr_01	1187575	1189590	MgIM767.01G024000
Chr_01	1193177	1197281	MgIM767.01G024100
Chr_01	1198684	1201469	MgIM767.01G024200
Chr_01	1201981	1202930	MgIM767.01G024300
Chr_01	1203008	1204977	MgIM767.01G024400
Chr_01	1205659	1209818	MgIM767.01G024500
Chr_01	1210872	1212861	MgIM767.01G024600
Chr_01	1213008	1215023	MgIM767.01G024700
Chr_01	1215024	1216834	MgIM767.01G024800
Chr_01	1217786	1218299	MgIM767.01G024900
Chr_01	1218377	1222255	MgIM767.01G025000
Chr_01	1222777	1224843	MgIM767.01G025100
Chr_01	1233042	1235131	MgIM767.01G025200
Chr_01	1237188	1259475	MgIM767.01G025300
Chr_01	1263831	1269377	MgIM767.01G025400
Chr_01	1269465	1271060	MgIM767.01G025500
Chr_01	1280495	1283413	MgIM767.01G025600
Chr_01	1283555	1288327	MgIM767.01G025700
Chr_01	1289995	1291287	MgIM767.01G025800
Chr_01	1291816	1295744	MgIM767.01G025900
Chr_01	1299395	1301050	MgIM767.01G026000
Chr_01	1300945	1301681	MgIM767.01G026100
Chr_01	1302056	1302708	MgIM767.01G026200
Chr_01	1304333	1308029	MgIM767.01G026300
Chr_01	1308570	1315698	MgIM767.01G026400
Chr_01	1316805	1319105	MgIM767.01G026500
Chr_01	1320215	1323440	MgIM767.01G026600
Chr_01	1323794	1327895	MgIM767.01G026700
Chr_01	1328276	1342874	MgIM767.01G026800
Chr_01	1343230	1345860	MgIM767.01G026900
Chr_01	1346018	1351369	MgIM767.01G027000
Chr_01	1349433	1352144	MgIM767.01G027100
Chr_01	1352532	1358147	MgIM767.01G027200
Chr_01	1358395	1361904	MgIM767.01G027300
Chr_01	1374786	1378787	MgIM767.01G027400
Chr_01	1379048	1384043	MgIM767.01G027500
Chr_01	1389250	1396630	MgIM767.01G027600
Chr_01	1396268	1399228	MgIM767.01G027700
Chr_01	1400590	1403763	MgIM767.01G027800
Chr_01	1406753	1408727	MgIM767.01G027900
Chr_01	1409550	1412136	MgIM767.01G028000
Chr_01	1414136	1419695	MgIM767.01G028100
Chr_01	1420073	1426700	MgIM767.01G028200
Chr_01	1434422	1437142	MgIM767.01G028300
Chr_01	1448369	1454558	MgIM767.01G028400
Chr_01	1464883	1465600	MgIM767.01G028500
Chr_01	1473031	1475805	MgIM767.01G028600
Chr_01	1475915	1482310	MgIM767.01G028700
Chr_01	1485273	1487116	MgIM767.01G028800
Chr_01	1488381	1490081	MgIM767.01G028900
Chr_01	1490092	1492148	MgIM767.01G029000
Chr_01	1493568	1500671	MgIM767.01G029100
Chr_01	1506435	1508274	MgIM767.01G029200
Chr_01	1509609	1511098	MgIM767.01G029300
Chr_01	1511321	1513402	MgIM767.01G029400
Chr_01	1513389	1515896	MgIM767.01G029500
Chr_01	1515897	1518148	MgIM767.01G029600
Chr_01	1518312	1520249	MgIM767.01G029700
Chr_01	1520303	1526902	MgIM767.01G029800
Chr_01	1527993	1530915	MgIM767.01G029900
Chr_01	1531045	1532769	MgIM767.01G030000
Chr_01	1534046	1537148	MgIM767.01G030100
Chr_01	1537272	1541817	MgIM767.01G030200
Chr_01	1543210	1547507	MgIM767.01G030300
Chr_01	1550597	1553015	MgIM767.01G030400
Chr_01	1556810	1561538	MgIM767.01G030500
Chr_01	1562818	1566905	MgIM767.01G030600
Chr_01	1567905	1571129	MgIM767.01G030700
Chr_01	1575685	1578919	MgIM767.01G030800
Chr_01	1579874	1582684	MgIM767.01G030900
Chr_01	1582598	1586860	MgIM767.01G031000
Chr_01	1587803	1589872	MgIM767.01G031100
Chr_01	1591976	1594468	MgIM767.01G031200
Chr_01	1603251	1605661	MgIM767.01G031300
Chr_01	1605727	1608640	MgIM767.01G031400
Chr_01	1608935	1611424	MgIM767.01G031500
Chr_01	1611987	1614911	MgIM767.01G031600
Chr_01	1615374	1616270	MgIM767.01G031700
Chr_01	1616553	1618623	MgIM767.01G031800
Chr_01	1632309	1639056	MgIM767.01G031900
Chr_01	1639860	1642213	MgIM767.01G032000
Chr_01	1642896	1644436	MgIM767.01G032100
Chr_01	1645939	1649033	MgIM767.01G032200
Chr_01	1663716	1665034	MgIM767.01G032300
Chr_01	1667203	1669522	MgIM767.01G032400
Chr_01	1670844	1674898	MgIM767.01G032500
Chr_01	1675561	1681185	MgIM767.01G032600
Chr_01	1682495	1687254	MgIM767.01G032700
Chr_01	1689226	1689831	MgIM767.01G032800
Chr_01	1695288	1697795	MgIM767.01G032900
Chr_01	1698533	1700596	MgIM767.01G033000
Chr_01	1706835	1708371	MgIM767.01G033100
Chr_01	1711501	1713208	MgIM767.01G033200
Chr_01	1717196	1719474	MgIM767.01G033300
Chr_01	1718940	1723519	MgIM767.01G033400
Chr_01	1723986	1726025	MgIM767.01G033500
Chr_01	1727546	1729362	MgIM767.01G033600
Chr_01	1738021	1740584	MgIM767.01G033700
Chr_01	1743825	1746427	MgIM767.01G033800
Chr_01	1757125	1759107	MgIM767.01G033900
Chr_01	1762739	1764543	MgIM767.01G034000
Chr_01	1774944	1777069	MgIM767.01G034100
Chr_01	1778538	1781188	MgIM767.01G034200
Chr_01	1784078	1787482	MgIM767.01G034300
Chr_01	1788460	1792695	MgIM767.01G034400
Chr_01	1795449	1798674	MgIM767.01G034500
Chr_01	1799961	1802778	MgIM767.01G034600
Chr_01	1804679	1808926	MgIM767.01G034700
Chr_01	1809162	1810121	MgIM767.01G034800
Chr_01	1811083	1811690	MgIM767.01G034900
Chr_01	1813389	1814366	MgIM767.01G035000
Chr_01	1815804	1817924	MgIM767.01G035100
Chr_01	1818057	1822272	MgIM767.01G035200
Chr_01	1824066	1824954	MgIM767.01G035300
Chr_01	1826623	1829888	MgIM767.01G035400
Chr_01	1832100	1833847	MgIM767.01G035500
Chr_01	1839334	1842581	MgIM767.01G035600
Chr_01	1843077	1847782	MgIM767.01G035700
Chr_01	1848107	1851861	MgIM767.01G035800
Chr_01	1852517	1856300	MgIM767.01G035900
Chr_01	1861136	1865777	MgIM767.01G036000
Chr_01	1872719	1874660	MgIM767.01G036100
Chr_01	1881383	1885204	MgIM767.01G036200
Chr_01	1887488	1887781	MgIM767.01G036300
Chr_01	1900412	1905127	MgIM767.01G036400
Chr_01	1911158	1913311	MgIM767.01G036500
Chr_01	1939192	1940393	MgIM767.01G036600
Chr_01	1940408	1941854	MgIM767.01G036700
Chr_01	1951945	1956262	MgIM767.01G036800
Chr_01	1963687	1968688	MgIM767.01G036900
Chr_01	1973599	1977700	MgIM767.01G037000
Chr_01	1979157	1981185	MgIM767.01G037100
Chr_01	1981632	1983234	MgIM767.01G037200
Chr_01	1983746	1986439	MgIM767.01G037300
Chr_01	1987237	1990922	MgIM767.01G037400
Chr_01	1991749	1992418	MgIM767.01G037500
Chr_01	1993865	1996017	MgIM767.01G037600
Chr_01	1996649	1999090	MgIM767.01G037700
Chr_01	1998802	2001326	MgIM767.01G037800
Chr_01	2002160	2003923	MgIM767.01G037900
Chr_01	2004464	2007071	MgIM767.01G038000
Chr_01	2007936	2009453	MgIM767.01G038100
Chr_01	2010217	2012661	MgIM767.01G038200
Chr_01	2014595	2017157	MgIM767.01G038300
Chr_01	2019731	2021163	MgIM767.01G038400
Chr_01	2022436	2023945	MgIM767.01G038500
Chr_01	2024120	2024370	MgIM767.01G038600
Chr_01	2025692	2028736	MgIM767.01G038700
Chr_01	2029345	2032911	MgIM767.01G038800
Chr_01	2032828	2034106	MgIM767.01G038900
Chr_01	2034886	2037335	MgIM767.01G039000
Chr_01	2040165	2041762	MgIM767.01G039100
Chr_01	2046419	2047293	MgIM767.01G039200
Chr_01	2053522	2057212	MgIM767.01G039300
Chr_01	2057750	2059974	MgIM767.01G039400
Chr_01	2071641	2073214	MgIM767.01G039500
Chr_01	2078725	2083592	MgIM767.01G039600
Chr_01	2084496	2088423	MgIM767.01G039700
Chr_01	2089564	2093370	MgIM767.01G039800
Chr_01	2094281	2099048	MgIM767.01G039900
Chr_01	2102433	2106719	MgIM767.01G040000
Chr_01	2109076	2113294	MgIM767.01G040100
Chr_01	2114697	2118891	MgIM767.01G040200
Chr_01	2119421	2123805	MgIM767.01G040300
Chr_01	2123376	2128328	MgIM767.01G040400
Chr_01	2134612	2141584	MgIM767.01G040500
Chr_01	2141388	2145105	MgIM767.01G040600
Chr_01	2149033	2152592	MgIM767.01G040700
Chr_01	2156917	2160658	MgIM767.01G040800
Chr_01	2166909	2170097	MgIM767.01G040900
Chr_01	2172734	2176265	MgIM767.01G041000
Chr_01	2189303	2192546	MgIM767.01G041100
Chr_01	2195954	2197380	MgIM767.01G041200
Chr_01	2211744	2212955	MgIM767.01G041300
Chr_01	2215344	2219201	MgIM767.01G041400
Chr_01	2220214	2221704	MgIM767.01G041500
Chr_01	2222202	2232649	MgIM767.01G041600
Chr_01	2241944	2243797	MgIM767.01G041700
Chr_01	2254499	2257145	MgIM767.01G041800
Chr_01	2257524	2261510	MgIM767.01G041900
Chr_01	2263063	2264017	MgIM767.01G042000
Chr_01	2277766	2279182	MgIM767.01G042100
Chr_01	2280535	2283452	MgIM767.01G042200
Chr_01	2285603	2287100	MgIM767.01G042300
Chr_01	2287161	2287948	MgIM767.01G042400
Chr_01	2288435	2291314	MgIM767.01G042500
Chr_01	2293922	2297427	MgIM767.01G042600
Chr_01	2299604	2302952	MgIM767.01G042700
Chr_01	2303360	2306384	MgIM767.01G042800
Chr_01	2307800	2315358	MgIM767.01G042900
Chr_01	2317999	2324428	MgIM767.01G043000
Chr_01	2335255	2336246	MgIM767.01G043100
Chr_01	2336247	2336794	MgIM767.01G043200
Chr_01	2336970	2339004	MgIM767.01G043300
Chr_01	2339179	2341113	MgIM767.01G043400
Chr_01	2341675	2344108	MgIM767.01G043500
Chr_01	2349570	2351619	MgIM767.01G043600
Chr_01	2351632	2356366	MgIM767.01G043700
Chr_01	2356533	2357750	MgIM767.01G043800
Chr_01	2359867	2362481	MgIM767.01G043900
Chr_01	2367599	2368359	MgIM767.01G044000
Chr_01	2368795	2375805	MgIM767.01G044100
Chr_01	2375541	2378290	MgIM767.01G044200
Chr_01	2386215	2390151	MgIM767.01G044300
Chr_01	2390235	2391196	MgIM767.01G044400
Chr_01	2392098	2393459	MgIM767.01G044500
Chr_01	2394819	2401929	MgIM767.01G044600
Chr_01	2404644	2408491	MgIM767.01G044700
Chr_01	2408601	2410441	MgIM767.01G044800
Chr_01	2412473	2421825	MgIM767.01G044900
Chr_01	2422934	2424795	MgIM767.01G045000
Chr_01	2424844	2428036	MgIM767.01G045100
Chr_01	2430203	2431594	MgIM767.01G045200
Chr_01	2431839	2436498	MgIM767.01G045300
Chr_01	2437546	2439679	MgIM767.01G045400
Chr_01	2450545	2459992	MgIM767.01G045500
Chr_01	2469703	2473873	MgIM767.01G045600
Chr_01	2473874	2475481	MgIM767.01G045700
Chr_01	2475715	2479319	MgIM767.01G045800
Chr_01	2479890	2482222	MgIM767.01G045900
Chr_01	2481728	2484446	MgIM767.01G046000
Chr_01	2484869	2487639	MgIM767.01G046100
Chr_01	2490361	2491100	MgIM767.01G046200
Chr_01	2491659	2494794	MgIM767.01G046300
Chr_01	2493724	2496574	MgIM767.01G046400
Chr_01	2496757	2500737	MgIM767.01G046500
Chr_01	2501701	2503916	MgIM767.01G046600
Chr_01	2517556	2523081	MgIM767.01G046700
Chr_01	2523144	2525492	MgIM767.01G046800
Chr_01	2531484	2534388	MgIM767.01G046900
Chr_01	2534277	2538057	MgIM767.01G047000
Chr_01	2538209	2542985	MgIM767.01G047100
Chr_01	2543547	2546525	MgIM767.01G047200
Chr_01	2546700	2549661	MgIM767.01G047300
Chr_01	2551024	2554704	MgIM767.01G047400
Chr_01	2557428	2560728	MgIM767.01G047500
Chr_01	2561758	2566313	MgIM767.01G047600
Chr_01	2566524	2569436	MgIM767.01G047700
Chr_01	2571156	2573745	MgIM767.01G047800
Chr_01	2577106	2577219	MgIM767.01G047900
Chr_01	2577779	2579354	MgIM767.01G048000
Chr_01	2580171	2583064	MgIM767.01G048100
Chr_01	2589547	2590908	MgIM767.01G048200
Chr_01	2590897	2593976	MgIM767.01G048300
Chr_01	2603336	2608408	MgIM767.01G048400
Chr_01	2608565	2616931	MgIM767.01G048500
Chr_01	2619705	2621242	MgIM767.01G048600
Chr_01	2624212	2625595	MgIM767.01G048700
Chr_01	2625877	2627220	MgIM767.01G048800
Chr_01	2629307	2634765	MgIM767.01G048900
Chr_01	2635217	2639342	MgIM767.01G049000
Chr_01	2639492	2641269	MgIM767.01G049100
Chr_01	2643431	2649029	MgIM767.01G049200
Chr_01	2649511	2664794	MgIM767.01G049300
Chr_01	2664933	2666896	MgIM767.01G049400
Chr_01	2675821	2678048	MgIM767.01G049500
Chr_01	2679148	2682162	MgIM767.01G049600
Chr_01	2684058	2685351	MgIM767.01G049700
Chr_01	2686109	2689244	MgIM767.01G049800
Chr_01	2692395	2695347	MgIM767.01G049900
Chr_01	2696654	2698027	MgIM767.01G050000
Chr_01	2699216	2702178	MgIM767.01G050100
Chr_01	2702509	2705228	MgIM767.01G050200
Chr_01	2705669	2708654	MgIM767.01G050300
Chr_01	2711677	2713939	MgIM767.01G050400
Chr_01	2727598	2729785	MgIM767.01G050500
Chr_01	2731203	2735945	MgIM767.01G050600
Chr_01	2736321	2739477	MgIM767.01G050700
Chr_01	2741668	2746267	MgIM767.01G050800
Chr_01	2747202	2749083	MgIM767.01G050900
Chr_01	2751964	2753270	MgIM767.01G051000
Chr_01	2754104	2756487	MgIM767.01G051100
Chr_01	2757343	2760603	MgIM767.01G051200
Chr_01	2761405	2764831	MgIM767.01G051300
Chr_01	2773389	2779474	MgIM767.01G051400
Chr_01	2780183	2783736	MgIM767.01G051500
Chr_01	2785816	2788016	MgIM767.01G051600
Chr_01	2792920	2795828	MgIM767.01G051700
Chr_01	2796983	2799531	MgIM767.01G051800
Chr_01	2801794	2803299	MgIM767.01G051900
Chr_01	2803363	2807071	MgIM767.01G052000
Chr_01	2808702	2812089	MgIM767.01G052100
Chr_01	2815123	2821466	MgIM767.01G052200
Chr_01	2822048	2822788	MgIM767.01G052300
Chr_01	2826883	2830220	MgIM767.01G052400
Chr_01	2831005	2834863	MgIM767.01G052500
Chr_01	2841134	2843249	MgIM767.01G052600
Chr_01	2851668	2854452	MgIM767.01G052700
Chr_01	2854453	2855442	MgIM767.01G052800
Chr_01	2855455	2857032	MgIM767.01G052900
Chr_01	2857830	2861339	MgIM767.01G053000
Chr_01	2861508	2862212	MgIM767.01G053100
Chr_01	2867842	2874481	MgIM767.01G053200
Chr_01	2874089	2878968	MgIM767.01G053300
Chr_01	2883618	2884991	MgIM767.01G053400
Chr_01	2885512	2887699	MgIM767.01G053500
Chr_01	2887076	2891553	MgIM767.01G053600
Chr_01	2893599	2898515	MgIM767.01G053700
Chr_01	2909238	2912204	MgIM767.01G053800
Chr_01	2912521	2914223	MgIM767.01G053900
Chr_01	2914263	2918337	MgIM767.01G054000
Chr_01	2919489	2921601	MgIM767.01G054100
Chr_01	2923026	2925607	MgIM767.01G054200
Chr_01	2930881	2933136	MgIM767.01G054300
Chr_01	2933207	2936069	MgIM767.01G054400
Chr_01	2940613	2943698	MgIM767.01G054500
Chr_01	2943844	2946387	MgIM767.01G054600
Chr_01	2952521	2962896	MgIM767.01G054700
Chr_01	2961908	2971399	MgIM767.01G054800
Chr_01	2973057	2976599	MgIM767.01G054900
Chr_01	2978558	2981118	MgIM767.01G055000
Chr_01	2981144	2981461	MgIM767.01G055100
Chr_01	2982095	2986165	MgIM767.01G055200
Chr_01	2986296	2987472	MgIM767.01G055300
Chr_01	2986798	2988717	MgIM767.01G055400
Chr_01	2990535	2996575	MgIM767.01G055500
Chr_01	2997297	3004749	MgIM767.01G055600
Chr_01	3005782	3008678	MgIM767.01G055700
Chr_01	3009143	3013295	MgIM767.01G055800
Chr_01	3017761	3021248	MgIM767.01G055900
Chr_01	3021440	3023718	MgIM767.01G056000
Chr_01	3024632	3037297	MgIM767.01G056100
Chr_01	3037508	3044266	MgIM767.01G056200
Chr_01	3051630	3055199	MgIM767.01G056300
Chr_01	3055611	3060291	MgIM767.01G056400
Chr_01	3060646	3065760	MgIM767.01G056500
Chr_01	3071157	3077878	MgIM767.01G056600
Chr_01	3079804	3081907	MgIM767.01G056700
Chr_01	3083201	3087157	MgIM767.01G056800
Chr_01	3087613	3088398	MgIM767.01G056900
Chr_01	3105260	3108976	MgIM767.01G057000
Chr_01	3112383	3115634	MgIM767.01G057100
Chr_01	3119798	3123452	MgIM767.01G057200
Chr_01	3124692	3125593	MgIM767.01G057300
Chr_01	3126653	3129871	MgIM767.01G057400
Chr_01	3137317	3140688	MgIM767.01G057500
